凳,dèng
凵,kǎn
凶,xiōng
凸,tū
凹,āo
出,chū
击,jī
凼,dàng
函,hán
凿,záo
刀,dāo
刁,diāo
刂,dāo
刃,rèn
分,fēn
切,qiē
刈,yì
刊,kān
刍,chú
刎,wěn
刑,xíng
划,huá
刖,yuè
列,liè
刘,liú
则,zé
刚,gāng
创,chuàng
初,chū
删,shān
判,pàn
刨,páo
利,lì
别,bié
刭,jǐng
刮,guā
到,dào
刳,kū
制,zhì
刷,shuā
券,quàn
刹,shā
刺,cì
刻,kè
刽,guì
刿,guì
剀,kǎi
剁,duò
剂,jì
剃,tì
削,xuē
剌,là
前,qián
剐,guǎ
剑,jiàn
剔,tī
剖,pōu
剜,wān
剞,jī
剡,yǎn
剥,bāo
剧,jù
剩,shèng
剪,jiǎn
副,fù
割,gē
剽,piāo
剿,jiǎo
劁,qiāo
劂,jué
劈,pī
劐,huō
劓,yì
力,lì
劝,quàn
办,bàn
功,gōng
加,jiā
务,wù
劢,mài
劣,liè
动,dòng
助,zhù
努,nǔ
劫,jié
劬,qú
劭,shào
励,lì
劲,jìn
劳,láo
劾,hé
势,shì
勃,bó
勇,yǒng
勉,miǎn
勋,xūn
勐,měng
勒,lè
勖,xù
勘,kān
募,mù
勤,qín
勰,xié
勹,bāo
勺,sháo
勾,gōu
勿,wù
匀,yún
包,bāo
匆,cōng
匈,xiōng
匍,pú
匏,páo
匐,fú
匕,bǐ
化,huà
北,běi
匙,chí
匚,fāng
匝,zā
匠,jiàng
匡,kuāng
匣,xiá
匦,guǐ
匪,fěi
匮,kuì
匹,pǐ
区,qū
医,yī
匾,biǎn
匿,nì
十,shí
千,qiān
卅,sà
升,shēng
午,wǔ
卉,huì
半,bàn
华,huá
协,xié
卑,bēi
卒,zú
卓,zhuó
单,dān
卖,mài
南,nán
博,bó
卜,bo
卞,biàn
卟,bǔ
占,zhàn
卡,kǎ
卢,lú
卣,yǒu
卤,lǔ
卦,guà
卧,wò
卩,jié
卫,wèi
卮,zhī
卯,mǎo
印,yìn
危,wēi
即,jí
却,què
卵,luǎn
卷,juàn
卸,xiè
卺,jǐn
卿,qīng
厂,chǎng
厄,è
厅,tīng
历,lì
厉,lì
压,yā
厌,yàn
厍,shè
厕,cè
厘,lí
厚,hòu
厝,cuò
原,yuán
厢,xiāng
厣,yǎn
厥,jué
厦,shà
厨,chú
厩,jiù
厮,sī
厶,sī
去,qù
县,xiàn
叁,sān
参,cān
又,yòu
叉,chā
及,jí
友,yǒu
双,shuāng
反,fǎn
发,fā
叔,shū
取,qǔ
受,shòu
变,biàn
叙,xù
叛,pàn
叟,sǒu
叠,dié
口,kǒu
古,gǔ
句,jù
另,lìng
叨,dāo
叩,kòu
只,zhī
叫,jiào
召,zhào
叭,bā
叮,dīng
可,kě
台,tái
叱,chì
史,shǐ
右,yòu
叵,pǒ
叶,yè
号,hào
司,sī
叹,tàn
叻,lè
叼,diāo
叽,jī
吁,yù
吃,chī
各,gè
吆,yāo
合,hé
吉,jí
吊,diào
同,tóng
名,míng
后,hòu
吏,lì
吐,tǔ
向,xiàng
吒,zhà
吓,xià
吕,lǚ
吖,ā
吗,ma
君,jūn
吝,lìn
吞,tūn
吟,yín
吠,fèi
吡,bǐ
吣,qìn
否,fǒu
吧,bā
吨,dūn
吩,fēn
含,hán
听,tīng
吭,kēng
吮,shǔn
启,qǐ
吱,zī
吲,yǐn
吴,wú
吵,chǎo
